date,country,cases,deaths,recoveries
2003-03-17,Germany,1,0,0
2003-03-17,Canada,8,2,0
2003-03-17,Singapore,20,0,0
2003-03-17,"Hong Kong SAR, China",95,1,0
2003-03-17,Switzerland,2,0,0
2003-03-17,Thailand,1,0,0
2003-03-17,Viet Nam,40,1,0
